experiment_id,name,parameters,d_model,layers,gap_features,multiscale,gated_head,curriculum,loss,val_MAE,test_MAE,test_RMSE,test_Correlation,PM25_MAE,PM10_MAE,NO2_MAE,SO2_MAE,O3_MAE,Peak10_PM25_MAE,Peak5_PM25_MAE,Stress_50pct_MAE,Stress_70pct_MAE,Training_Seconds,checkpoint_file
Model_A,"Baseline Control (Single-scale, No Gap Feats, Fixed Residual, SmoothL1)",500357,128,3,False,False,False,False,smooth_l1,0.09371575614547029,5.809,15.723,0.99,3.581876039505005,17.15595054626465,1.8649132251739502,1.4325618743896484,5.1123046875,4.974,6.136,18.447,15.724,438.6,model_model_a.pt
Model_B,"+ Structural Missingness Gap Features (dt_prev, dt_next, gap_len, boundary)",502917,128,3,True,False,False,False,smooth_l1,0.08759761842734673,5.657,15.466,0.991,3.6409072875976562,16.36391258239746,1.8838344812393188,1.4262516498565674,5.067521572113037,5.618,7.211,13.189,10.326,493.7,model_model_b.pt
Model_C,+ Multi-Scale Temporal Convolutions & Cross-Pollutant Interaction,503557,128,3,True,True,False,False,smooth_l1,0.08736140018000323,5.496,15.157,0.991,3.4989547729492188,16.243085861206055,1.7064447402954102,1.2874360084533691,4.842280864715576,4.997,6.085,16.301,14.794,529.3,model_model_c.pt
Model_D,Ablation: + Gated Residual Head (MultiScale + Gap Feats + Gated Head),504202,128,3,True,True,True,False,peak_aware,0.09062818678862908,5.845,15.865,0.99,3.7026681900024414,16.82453727722168,1.8797451257705688,1.3932287693023682,5.523087978363037,6.125,7.922,13.829,12.886,467.5,model_model_d.pt
Model_E,Combined: MultiScale + Gap Features + Peak-Aware Loss + Curriculum Masking,503557,128,3,True,True,False,True,peak_aware,0.11259744502604008,6.286,16.542,0.989,3.5282111167907715,17.475933074951172,2.1587183475494385,1.4291770458221436,6.92988395690918,7.136,9.676,13.469,16.499,304.8,model_model_e.pt
Model_F,"Capacity Scaled (d_model=192, layers=4, nhead=8, FFN=384)",1408709,192,4,True,True,False,True,peak_aware,0.09921611659228802,5.935,15.96,0.99,3.411090135574341,17.44631576538086,2.130949020385742,1.490013599395752,5.306178569793701,6.617,9.098,10.575,18.655,686.9,model_model_f.pt
