split_name,window_count,percentage,start_timestamp_min,start_timestamp_max,end_timestamp_min,end_timestamp_max,station_count,missing_pollutant_cells,missing_pollutant_pct,windows_with_missing,is_purged_buffer,description
train,294160,69.96,2019-01-01 00:00:00,2021-02-05 00:00:00,2019-01-01 23:00:00,2021-02-05 23:00:00,16,908181,2.57,146820,False,Primary chronological training split (25 months)
buffer_train_val,752,0.18,2021-02-05 01:00:00,2021-02-06 23:00:00,2021-02-06 00:00:00,2021-02-07 22:00:00,16,1275,1.41,414,True,"Purged temporal buffer: 24h calendar day 2021-02-06, 25.0h physical gap, 47 windows/station"
val,62608,14.89,2021-02-07 00:00:00,2021-07-20 00:00:00,2021-02-07 23:00:00,2021-07-20 23:00:00,16,222054,2.96,40207,False,Chronological validation split (5.5 months)
buffer_val_test,752,0.18,2021-07-20 01:00:00,2021-07-21 23:00:00,2021-07-21 00:00:00,2021-07-22 22:00:00,16,3350,3.71,578,True,"Purged temporal buffer: 24h calendar day 2021-07-21, 25.0h physical gap, 47 windows/station"
test,62224,14.8,2021-07-22 00:00:00,2021-12-31 00:00:00,2021-07-22 23:00:00,2021-12-31 23:00:00,16,205488,2.75,38623,False,"Chronological test split (5.3 months, benchmark evaluated)"
