link_id,road_saturation_level,traffic_speed,capture_date
4652-4633,TRAFFIC GOOD,88,2019-12-24T08:28:34
4651-4631,TRAFFIC GOOD,74,2019-12-24T08:28:34
46322-46522,TRAFFIC GOOD,58,2019-12-24T08:28:35
46319-46512,TRAFFIC AVERAGE,34,2019-12-24T08:28:35
4650-3651,TRAFFIC GOOD,70,2019-12-24T08:28:34
36511-46502,TRAFFIC GOOD,62,2019-12-24T08:28:35
