link_id,road_saturation_level,traffic_speed,capture_date
36511-46502,TRAFFIC GOOD,70,2021-12-31T23:54:35
46319-46512,TRAFFIC GOOD,70,2021-12-31T23:54:35
46322-46522,TRAFFIC GOOD,70,2021-12-31T23:54:35
4650-3651,TRAFFIC GOOD,61,2021-12-31T23:54:34
4651-4631,TRAFFIC AVERAGE,40,2021-12-31T23:54:34
4652-4633,TRAFFIC GOOD,88,2021-12-31T23:54:34
