link_id,road_saturation_level,traffic_speed,capture_date
105057,TRAFFIC BAD,7,2026-06-11T15:33:00
106784,TRAFFIC GOOD,82,2026-06-11T15:33:00
2905,TRAFFIC AVERAGE,35,2026-06-11T15:33:00
106785,TRAFFIC GOOD,77,2026-06-11T15:33:00
101734,TRAFFIC GOOD,58,2026-06-11T15:33:00
101735,TRAFFIC GOOD,59,2026-06-11T15:33:00
